26-4599244,7,LOANDEPOT.COM,2008
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2008
7505400005,7,STEARNS LENDING  INC.,2008
7197000003,7,QUICKEN LOANS  INC.,2008
0000019222,3,FREMONT BK,2008
7056000000,7,SIERRA PACIFIC MORTGAGE,2008
0000852320,9,BRANCH BKG&TC,2008
0000013044,1,BANK OF AMERICA  N.A.,2008
36-4327855,7,GUARANTEED RATE INC.,2008
0000012311,9,HUNTINGTON NB,2008
75-2921540,7,NATIONSTAR MORTGAGE LLC,2008
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2008
0001189117,9,STATE EMPL CU,2008
0000032489,3,HOMESTREET BK,2008
0000852218,9,JPMORGAN CHASE BK NA,2008
0000940311,9,BANCO POPULAR DE PR,2008
0000018039,4,COUNTRYWIDE BANK  FSB,2008
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2008
0471809999,7,GUILD MORTGAGE COMPANY,2008
0000032296,3,UNION SVG BK,2008
26-4599244,7,LOANDEPOT.COM,2017
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2017
7505400005,7,STEARNS LENDING  INC.,2017
7197000003,7,QUICKEN LOANS  INC.,2017
0000019222,3,FREMONT BK,2017
7056000000,7,SIERRA PACIFIC MORTGAGE,2017
0000852320,9,BRANCH BKG&TC,2017
0000013044,1,BANK OF AMERICA  N.A.,2017
36-4327855,7,GUARANTEED RATE INC.,2017
0000012311,9,HUNTINGTON NB,2017
75-2921540,7,NATIONSTAR MORTGAGE LLC,2017
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2017
0001189117,9,STATE EMPL CU,2017
0000032489,3,HOMESTREET BK,2017
0000852218,9,JPMORGAN CHASE BK NA,2017
0000940311,9,BANCO POPULAR DE PR,2017
0000018039,4,COUNTRYWIDE BANK  FSB,2017
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2017
0471809999,7,GUILD MORTGAGE COMPANY,2017
0000032296,3,UNION SVG BK,2017
