Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2010,0000002360,1,          ,                              ,                         ,  ,03,0000733289,0,LCNB NB                                                               ,LEBANON                  ,OH                    ,0002759900,LCNB CORP                     ,LEBANON                  ,OH,UNITED STATES                           ,0000785923,0000000000,39
2010,0000002413,1,          ,                              ,                         ,  ,03,0001260677,0,CITIZENS FIRST NB                                                     ,PRINCETON                ,IL                    ,0001207600,PRINCETON NAT BC              ,PRINCETON                ,IL,UNITED STATES                           ,0000669443,0000000000,17
2010,0000002449,1,          ,                              ,                         ,  ,03,0000545510,0,MERCHANTS NB                                                          ,HILLSBORO                ,OH                    ,0002485487,MERCHANTS BC                  ,HILLSBORO                ,OH,UNITED STATES                           ,0000701222,0000000000,39
2010,0000002477,1,          ,                              ,                         ,  ,02,0000183899,0,FIRST NB                                                              ,WEATHERFORD              ,TX                    ,0001105751,FIRST BAIRD BSHRS             ,BEDFORD                  ,TX,UNITED STATES                           ,0000614368,0000000000,48
2010,0000002503,1,          ,                              ,                         ,  ,03,0000169567,0,HOMETOWN NB                                                           ,LA SALLE                 ,IL                    ,0001209323,LASALLE BC                    ,LA SALLE                 ,IL,UNITED STATES                           ,0000770639,0000000000,17
2010,0000002515,1,          ,                              ,                         ,  ,01,0000725952,0,EPHRATA NB                                                            ,EPHRATA                  ,PA                    ,0001116681,HIBSHMAN TR FOR EPHRATA NB STK,EPHRATA                  ,PA,UNITED STATES                           ,0000425911,0000000000,42
2010,0000002560,1,          ,                              ,                         ,  ,03,0000145698,0,FARMERS NB OF CYNTHIANA                                               ,CYNTHIANA                ,KY                    ,0001071511,FARMERS NAT BC                ,CYNTHIANA                ,KY,UNITED STATES                           ,0000854418,0000000000,21
2010,0000002725,1,          ,                              ,                         ,  ,03,0000825880,0,FIRST NAT B&TC                                                        ,BELOIT                   ,WI                    ,0001209042,CENTRE 1 BC                   ,BELOIT                   ,WI,UNITED STATES                           ,0000207845,0000000000,55
2010,0000002747,1,          ,                              ,                         ,  ,03,0001383594,0,HORIZON BK NA                                                         ,MICHIGAN CITY            ,IN                    ,0001209136,HORIZON BC                    ,MICHIGAN CITY            ,IN,UNITED STATES                           ,0000130541,0000000000,18
2010,0000002780,1,          ,                              ,                         ,  ,04,0000114336,0,FIRST NB OF WAHOO                                                     ,WAHOO                    ,NE                    ,0001020854,BANK MGMT                     ,WAHOO                    ,NE,UNITED STATES                           ,0000540056,0000000000,31
2010,0000002782,1,          ,                              ,                         ,  ,04,0003694100,0,INTRUST BK NA                                                         ,WICHITA                  ,KS                    ,0001064278,INTRUST FC                    ,WICHITA                  ,KS,UNITED STATES                           ,0000557858,0000000000,20
2010,0000003060,1,          ,                              ,                         ,  ,04,0000201503,0,JONES NB&TC OF SEWARD                                                 ,SEWARD                   ,NE                    ,0001061156,JONES NAT CORP                ,SEWARD                   ,NE,UNITED STATES                           ,0000469559,0000000000,31
2010,0000003091,1,          ,                              ,                         ,  ,04,0000086184,0,FIRST NB OF WELLINGTON                                                ,WELLINGTON               ,KS                    ,0001067514,FIRST FC                      ,WELLINGTON               ,KS,UNITED STATES                           ,0000369453,0000000000,20
2010,0000003105,1,          ,                              ,                         ,  ,04,0000259520,0,FIRST NB                                                              ,WAVERLY                  ,IA                    ,0001206395,FIRST WAVERLY CORP            ,WAVERLY                  ,IA,UNITED STATES                           ,0000376442,0000000000,19
2010,0000003124,1,          ,                              ,                         ,  ,04,0000658937,0,SECURITY NB SIOUX CITY                                                ,SIOUX CITY               ,IA                    ,0001200348,SECURITY NAT CORP             ,DAKOTA DUNES             ,SD,UNITED STATES                           ,0000418249,0000000000,19
2010,0000003147,1,          ,                              ,                         ,  ,01,0000129910,0,NATIONAL BK OF MALVERN                                                ,MALVERN                  ,PA                    ,0002409755,MALVERN BK CORP               ,MALVERN                  ,PA,UNITED STATES                           ,0000977616,0000000000,42
2010,0000003175,1,          ,                              ,                         ,  ,04,0000291228,0,CITIZENS BK NA                                                        ,FORT SCOTT               ,KS                    ,0001417360,FIRST CAP CORP                ,FORT SCOTT               ,KS,UNITED STATES                           ,0000842358,0000000000,20
2010,0000003218,1,          ,                              ,                         ,  ,04,0000234746,0,CORNERBANK NA                                                         ,WINFIELD                 ,KS                    ,0001064269,CORNERSTONE ALLIANCE          ,WINFIELD                 ,KS,UNITED STATES                           ,0000091156,0000000000,20
2010,0000003286,1,          ,                              ,                         ,  ,02,0000203759,0,FIRST NB                                                              ,BAIRD                    ,TX                    ,0001105751,FIRST BAIRD BSHRS             ,BEDFORD                  ,TX,UNITED STATES                           ,0000075558,0000000000,48
2010,0000003393,1,          ,                              ,                         ,  ,04,0001121795,0,FIRST NB IN SIOUX FALLS                                               ,SIOUX FALLS              ,SD                    ,0001126354,MINNEHAHA BSHRS               ,SIOUX FALLS              ,SD,UNITED STATES                           ,0000326858,0000000000,46
2010,0000003434,1,          ,                              ,                         ,  ,04,0000152664,0,FIRST NB OF WAMEGO                                                    ,WAMEGO                   ,KS                    ,0001060524,WAMEGO BSHRS                  ,WAMEGO                   ,KS,UNITED STATES                           ,0000552059,0000000000,20
2010,0000003509,1,          ,                              ,                         ,  ,04,0000207378,0,CITIZENS BK OF KS NA                                                  ,KINGMAN                  ,KS                    ,0001061987,KING BSHRS                    ,KINGMAN                  ,KS,UNITED STATES                           ,0001014853,0000000000,20
2010,0000003533,1,          ,                              ,                         ,  ,02,0000120452,0,FIRST NB                                                              ,BALLINGER                ,TX                    ,0001106990,TEXAS COUNTRY BSHRS           ,BRADY                    ,TX,UNITED STATES                           ,0000160454,0000000000,48
2010,0000003543,1,          ,                              ,                         ,  ,04,0000101204,0,FIRST NB&TC OF JUNCTION CITY                                          ,JUNCTION CITY            ,KS                    ,0001061893,EXCHANGE CO                   ,KEARNEY                  ,NE,UNITED STATES                           ,0000240356,0000000000,20
