Preapproval request approved but not accepted,3296,1
Application approved but not accepted,1351,12
Loan originated,7514,1
Loan originated,2847,1
Application withdrawn by applicant,5570,1
Application approved but not accepted,9660,1
Loan originated,5658,1
Application denied by financial institution,2776,3
Application denied by financial institution,14600,1
Loan originated,3952,10
File closed for incompleteness,1218,21
Loan purchased by the institution,0656,197
Loan originated,834,58
Application withdrawn by applicant,0175,27564
Application approved but not accepted,750,30
Application approved but not accepted,0321,1041
Loan originated,5733,2
Loan purchased by the institution,932,1
Loan originated,4703,11
Application denied by financial institution,1643,22
Application denied by financial institution,8398,1
Application withdrawn by applicant,4849,1
Application withdrawn by applicant,3995,3
Loan originated,6660,1
Application denied by financial institution,0995,97
Loan originated,10693,1
Loan originated,9677,1
Application denied by financial institution,3527,3
Application withdrawn by applicant,0072,166104
Loan originated,7896,1
Loan originated,1993,6
Loan purchased by the institution,9510,1
Application approved but not accepted,2205,6
Loan purchased by the institution,3364,1
Loan purchased by the institution,3261,2
Loan originated,1265,237
Application withdrawn by applicant,1935,12
File closed for incompleteness,0261,979
Application withdrawn by applicant,17520,1
Loan purchased by the institution,1407,16
Application denied by financial institution,5102,1
File closed for incompleteness,810,8
Preapproval request denied by financial institution,295,14
Application approved but not accepted,2308,2
Application approved but not accepted,1850,2
Application approved but not accepted,4265,1
Application denied by financial institution,298,265
Application denied by financial institution,0000100,3
Application withdrawn by applicant,1296,12
Loan purchased by the institution,0450,2634
Application denied by financial institution,5205,3
Application approved but not accepted,1557,10
Application withdrawn by applicant,228,1163
Loan originated,20993,1
Loan originated,1714,3
Loan purchased by the institution,1201,36
Preapproval request denied by financial institution,398,3
Loan originated,2192,34
Application approved but not accepted,4368,3
Application denied by financial institution,3321,1
Loan originated,4076,5
Application denied by financial institution,1746,23
Application denied by financial institution,4454,2
Loan originated,937,44
Application denied by financial institution,0716,223
Loan originated,6866,4
Loan originated,1162,297
Preapproval request approved but not accepted,316,7
Application withdrawn by applicant,3089,1
Application approved but not accepted,2484,8
Loan purchased by the institution,2231,2
Loan purchased by the institution,129,2122
Loan originated,6688,1
Application withdrawn by applicant,24000,3
Preapproval request approved but not accepted,1055,3
Loan purchased by the institution,5042,1
Application withdrawn by applicant,3892,1
Preapproval request approved but not accepted,1961,3
File closed for incompleteness,3278,2
Preapproval request approved but not accepted,117,256
Application approved but not accepted,3132,3
